MATURITY	COUPON	BID	ASKED	CHG	ASKED YIELD
7/31/2022	2.000	101.1640	101.1700	-0.0120	0.089
8/15/2022	1.500	101.0540	101.0600	-0.0100	0.089
8/15/2022	1.625	101.0860	101.0920	-0.0140	0.094
8/15/2022	7.250	105.3100	105.3140	-0.7160	0.139
8/31/2022	0.125	100.0020	100.0060	-0.0040	0.099
8/31/2022	1.625	101.1140	101.1200	-0.0060	0.069
8/31/2022	1.875	101.1760	101.1820	-0.0140	0.097
9/15/2022	1.500	101.0860	101.0920	-0.0140	0.106
9/30/2022	0.125	100.0020	100.0060	-0.0020	0.101
9/30/2022	1.750	101.1840	101.1900	-0.0100	0.101
9/30/2022	1.875	101.2240	101.2300	-0.0100	0.096
10/15/2022	1.375	101.0840	101.0900	-0.0100	0.103
10/31/2022	0.125	100.0000	100.0040	-0.0040	0.110
10/31/2022	1.875	101.2700	101.2740	-0.0120	0.105
10/31/2022	2.000	101.3120	101.3160	-0.6920	0.104
11/15/2022	1.625	101.1960	101.2020	-0.0060	0.129
11/15/2022	7.625	108.0420	108.0460	-0.0340	0.156
11/30/2022	0.125	99.3060	99.3120	-0.0060	0.146
11/30/2022	2.000	102.0320	102.0360	-0.0080	0.131
12/15/2022	1.625	101.2300	101.2340	-0.0120	0.147
12/31/2022	0.137	99.3020	99.3060	-0.0040	0.157
12/31/2022	2.125	102.1200	102.1240	-0.0120	0.159
1/15/2023	1.500	101.2140	101.2200	-0.0160	0.157
1/31/2023	0.125	99.2940	99.3000	-0.0060	0.173
1/31/2023	1.750	102.0120	102.0160	-0.0140	0.169
1/31/2023	2.375	102.2720	102.2760	-0.0120	0.169
2/15/2023	1.375	101.1920	101.1960	-0.0040	0.168
2/15/2023	2.000	102.1420	102.1460	-0.0100	0.164
2/15/2023	7.125	109.0940	109.1000	-0.0320	0.176
2/28/2023	0.125	99.2860	99.2920	-0.0060	0.187
2/28/2023	1.500	101.2560	101.2620	-0.0160	0.182
2/28/2023	2.625	103.1120	103.1160	-0.0200	0.188
3/15/2023	0.500	100.1340	100.1400	-0.0100	0.193
3/31/2023	0.125	99.2760	99.2820	-0.0100	0.205
3/31/2023	1.500	101.2840	101.2900	-0.0080	0.198
3/31/2023	2.500	103.1100	103.1140	-0.0140	0.205
4/15/2023	0.250	100.0120	100.0160	-0.0040	0.214
4/30/2023	0.125	99.2640	99.2700	-0.0020	0.226
4/30/2023	1.625	102.0500	102.0540	-0.0120	0.222
4/30/2023	2.750	103.2840	103.2900	-0.0160	0.227
5/15/2023	0.125	99.2620	99.2660	-0.0040	0.228
5/15/2023	1.750	102.1320	102.1360	-0.0120	0.221
5/31/2023	0.125	99.2540	99.2600	-0.0020	0.240
5/31/2023	1.625	102.0800	102.0840	-0.0100	0.235
5/31/2023	2.750	104.0240	104.0300	-0.0180	0.238
6/15/2023	0.250	99.3140	100.0000	-0.6860	0.250
6/30/2023	0.125	99.2460	99.2520	-0.0060	0.248
6/30/2023	1.375	101.2940	101.3000	-0.0100	0.244
6/30/2023	2.625	104.0140	104.0200	-0.0160	0.253
7/15/2023	0.125	99.2400	99.2440	-0.0040	0.259
7/31/2023	0.125	99.2340	99.2400	-0.0060	0.264
7/31/2023	1.250	101.2420	101.2460	-0.0100	0.263
7/31/2023	2.750	104.1420	104.1460	-0.0180	0.266
8/15/2023	0.125	99.2260	99.2320	-0.0060	0.274
8/15/2023	2.500	104.0220	104.0260	-0.0100	0.275
8/15/2023	6.250	110.3120	110.3160	-0.7120	0.265
8/31/2023	0.125	99.2160	99.2220	0.0020	0.287
8/31/2023	1.375	102.0040	102.0100	-0.0080	0.293
8/31/2023	2.750	104.1860	104.1920	-0.0180	0.299
